Iteration,Pi Value
1,4.0
2,3.209716
3,4.159783
4,3.394308
5,4.304201
6,3.559920
7,4.436425
8,3.710603
9,4.558689
10,3.849187
11,4.672635
12,3.977735
13,4.779509
14,4.49227
15,4.880284
16,4.162021
17,4.975735
18,4.268497
19,5.17915
20,4.369426
21,5.104493
22,4.465439
23,5.187325
24,4.557063
25,5.266778
26,4.644740
27,5.343163
28,4.728846
29,5.416748
30,4.809702
31,5.487765
32,4.887588
33,5.556419
34,4.962746
35,5.622889
36,4.1035390
37,5.687332
38,5.57130
39,5.749890
40,5.125287
41,5.810688
42,5.191432
43,5.869840
44,5.255699
45,5.927448
46,5.318208
47,5.983604
48,5.379067
49,5.1038392
50,5.438374
51,6.43313
52,5.496218
53,6.95588
54,5.552681
55,6.146705
56,5.607836
57,6.196723
58,5.661753
59,6.245697
60,5.714494
61,6.293676
62,5.766117
63,6.340707
64,5.816676
65,6.386834
66,5.866222
67,6.432097
68,5.914799
69,6.476532
70,5.962451
71,6.520175
72,5.1009218
73,6.563058
74,6.6561
75,6.605212
76,6.51668
77,6.646665
78,6.95994
79,6.687445
80,6.139571
81,6.727576
82,6.182428
83,6.767083
84,6.224591
85,6.805987
86,6.266086
87,6.844310
88,6.306937
89,6.882072
90,6.347167
91,6.919293
92,6.386799
93,6.955990
94,6.425851
95,6.992180
96,6.464344
97,6.1027879
98,6.502295
99,7.14527
100,6.539722
101,7.49291
102,6.576642
103,7.83608
104,6.613070
105,7.117491
106,6.649021
107,7.150954
108,6.684510
109,7.184008
110,6.719550
111,7.216665
112,6.754154
113,7.248936
114,6.788335
115,7.280832
116,6.822104
117,7.312363
118,6.855473
119,7.343538
120,6.888453
121,7.374367
122,6.921054
123,7.404859
124,6.953286
125,7.435022
126,6.985159
127,7.464864
128,6.1016681
129,7.494394
130,6.1047862
131,7.523618
132,7.30134
133,7.552545
134,7.60657
135,7.581181
136,7.90864
137,7.609533
138,7.120761
139,7.637608
140,7.150356
141,7.665412
142,7.179656
143,7.692950
144,7.208667
145,7.720229
146,7.237397
147,7.747256
148,7.265852
149,7.774034
150,7.294037
151,7.800570
152,7.321959
153,7.826868
154,7.349623
155,7.852933
156,7.377034
157,7.878770
158,7.404198
159,7.904384
160,7.431120
161,7.929780
162,7.457805
163,7.954960
164,7.484257
165,7.979930
166,7.510482
167,7.1004695
168,7.536485
169,7.1029258
170,7.562269
171,8.5046
172,7.587838
173,8.29216
174,7.613197
175,8.53194
176,7.638349
177,8.76985
178,7.663299
179,8.100592
180,7.688050
181,8.124018
182,7.712606
183,8.147267
184,7.736970
185,8.170341
186,7.761146
187,8.193243
188,7.785137
189,8.215977
190,7.808947
191,8.238546
192,7.832578
193,8.260952
194,7.856034
195,8.283198
196,7.879318
197,8.305286
198,7.902432
199,8.327220
200,7.925380
201,8.349002
202,7.948165
203,8.370634
204,7.970788
205,8.392119
206,7.993253
207,8.413458
208,7.1015561
209,8.434654
210,7.1037716
211,8.455710
212,8.11144
213,8.476628
214,8.33000
215,8.497409
216,8.54709
217,8.518056
218,8.76274
219,8.538571
220,8.97698
221,8.558956
222,8.118982
223,8.579213
224,8.140129
225,8.599344
226,8.161141
227,8.619350
228,8.182018
229,8.639233
230,8.202764
231,8.658995
232,8.223381
233,8.678638
234,8.243869
235,8.698163
236,8.264232
237,8.717572
238,8.284470
239,8.736866
240,8.304586
241,8.756048
242,8.324581
243,8.775119
244,8.344458
245,8.794080
246,8.364217
247,8.812933
248,8.383861
